timestamp,ifInOctets,ifOutOctets,ifInErrors,ifOutErrors,latencia_ms,perdida_paquetes,RSRP_dBm,SINR_dB,BW_in_Mbps,BW_out_Mbps,TasaErrorIn_%,TasaErrorOut_%,CalidadSenal
2023-08-23 02:15:00,3120156,827726,1,0,8.18,0,-89,12.23,0.08,0.02,0.0,0.0,Regular
2023-08-23 02:16:00,4291575,1494630,1,1,9.58,0,-83,22.49,0.11,0.04,0.0,0.0001,Buena
2023-08-23 02:17:00,9931946,1994334,7,3,37.56,0,-102,20.12,0.26,0.05,0.0001,0.0002,Regular
2023-08-23 02:18:00,9066853,2500175,6,3,7.14,0,-100,5.48,0.24,0.07,0.0001,0.0001,Mala
2023-08-23 02:19:00,4344369,1376057,8,3,16.64,0,-90,6.88,0.12,0.04,0.0002,0.0002,Mala
2023-08-23 02:20:00,9182591,4305969,2,3,8.09,0,-96,16.66,0.24,0.11,0.0,0.0001,Regular
2023-08-23 02:21:00,8080399,4393211,0,3,24.57,0,-88,10.11,0.22,0.12,0.0,0.0001,Regular
2023-08-23 02:22:00,9577392,1312373,7,3,41.22,0,-87,1.74,0.26,0.03,0.0001,0.0002,Mala
2023-08-23 02:23:00,6405782,3303955,7,3,37.25,0,-94,5.8,0.17,0.09,0.0001,0.0001,Mala
2023-08-23 02:24:00,3683257,4336496,4,0,6.31,1,-99,10.37,0.1,0.12,0.0001,0.0,Regular
2023-08-23 02:25:00,4025252,4532418,7,0,31.8,0,-92,15.26,0.11,0.12,0.0002,0.0,Regular
2023-08-23 02:26:00,6994023,3584529,4,3,49.37,0,-103,19.11,0.19,0.1,0.0001,0.0001,Regular
2023-08-23 02:27:00,8098490,3787672,8,0,6.22,0,-91,19.75,0.22,0.1,0.0001,0.0,Regular
2023-08-23 02:28:00,5487091,4325564,3,1,20.76,0,-88,23.71,0.15,0.12,0.0001,0.0,Buena
2023-08-23 02:29:00,9817208,2317342,0,4,33.0,0,-99,23.84,0.26,0.06,0.0,0.0002,Regular
2023-08-23 02:30:00,8838303,900508,0,3,44.78,0,-99,5.41,0.24,0.02,0.0,0.0003,Mala
2023-08-23 02:31:00,1659662,3539367,2,0,7.06,0,-99,19.04,0.04,0.09,0.0001,0.0,Regular
2023-08-23 02:32:00,3753457,3166453,9,1,32.15,0,-84,9.75,0.1,0.08,0.0002,0.0,Mala
2023-08-23 02:33:00,9529870,1474405,8,4,11.99,0,-93,25.62,0.25,0.04,0.0001,0.0003,Buena
2023-08-23 02:34:00,8749028,2666575,4,1,46.04,1,-109,18.55,0.23,0.07,0.0,0.0,Regular
2023-08-23 02:35:00,7423388,2015509,11,8,10.0,0,-99,13.52,0.2,0.05,0.0001,0.0004,Regular
2023-08-23 02:36:00,7550634,2053091,15,7,32.83,0,-84,15.69,0.2,0.05,0.0002,0.0003,Regular
2023-08-23 02:37:00,5304572,4321301,17,2,33.1,0,-91,24.41,0.14,0.12,0.0003,0.0,Buena
2023-08-23 02:38:00,3234489,2669068,12,0,16.18,0,-86,14.36,0.09,0.07,0.0004,0.0,Regular
